mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-289.841064453125,49.99159622192383,-18.256498336791992,21.73063468933105,-36.00022888183594,0.6069905757904053,-16.29058265686035,-14.62674045562744,-11.316086769104004,-19.51591682434082,-2.984100103378296,-5.968871116638184,-5.70790958404541,REAL
-258.0801086425781,99.12705993652344,-15.2293119430542,23.251352310180664,-3.0105268955230717,-5.174169063568115,-13.83679485321045,-18.07172966003418,-2.004877805709839,-7.679785251617432,-8.139348983764648,-11.516924858093262,-18.677536010742188,FAKE
-273.1865234375,62.88388442993164,-9.446560859680176,17.29695701599121,-18.617284774780277,-2.6891510486602783,-10.998062133789062,-10.410205841064451,-9.646522521972656,-9.01203155517578,-11.790571212768556,1.4150806665420532,-4.423040866851807,REAL
-339.0159912109375,61.64994430541992,4.997373104095459,30.015634536743164,2.700981855392456,-17.875595092773438,-19.4404296875,-3.64986252784729,-4.792428016662598,-7.44194746017456,-8.753108978271484,-15.827441215515137,-1.9963626861572263,REAL
-306.657470703125,100.9133758544922,-12.046065330505373,33.799800872802734,5.127544403076172,2.096437454223633,-4.65334415435791,-22.345197677612305,-2.365896224975586,-1.5875954627990725,-5.497086048126221,1.7539664506912231,-8.137715339660645,REAL
-309.6213684082031,74.09396362304688,-7.076406955718994,14.29421615600586,-15.37027645111084,1.083858609199524,-20.606704711914062,-21.337350845336918,-8.077147483825684,-13.87411403656006,-4.1012139320373535,-4.147693634033203,-4.136445999145508,REAL
-199.6242828369141,140.9239501953125,-28.084917068481445,-9.360602378845217,-20.0539665222168,-19.857423782348636,3.493354082107544,-41.302772521972656,-9.520689964294434,-13.835755348205566,-22.680583953857425,5.205750942230225,-22.53451538085937,FAKE
-318.1415100097656,73.90740966796875,1.412914514541626,20.995847702026367,-11.688103675842283,5.03956937789917,-9.60632610321045,-20.131113052368164,-6.252717971801758,-17.960506439208984,-0.5384339690208435,2.5382497310638428,-9.339457511901855,REAL
-376.8848876953125,63.16301727294922,-3.3315951824188232,22.826112747192383,3.5084524154663086,-1.7289986610412598,-13.909740447998049,-18.29895782470703,-12.515632629394531,-5.194585800170898,-11.44287109375,-2.478949546813965,5.554148197174072,REAL
-269.7626647949219,52.77470016479492,19.29135131835937,29.50834846496582,-4.155803203582764,-9.026280403137209,-23.09585952758789,-17.87250328063965,-12.688044548034668,-7.832448482513428,-9.120616912841797,-5.406149864196777,1.322434902191162,FAKE
-332.06549072265625,55.1346549987793,-4.676836490631104,21.14010238647461,-5.2806315422058105,-3.578392744064331,-18.53156280517578,-15.164583206176758,-6.446234703063965,-9.59439468383789,0.6243610382080078,-2.765192747116089,-4.944753646850586,REAL
-365.7785339355469,86.79427337646484,-16.739999771118164,21.810609817504883,4.658046722412109,-2.4754180908203125,-6.823301792144775,-18.79548454284668,-9.288684844970703,-9.376998901367188,-7.305118083953857,-5.08298397064209,-8.016376495361328,REAL
-301.29205322265625,50.0947494506836,-4.068282127380371,22.593015670776367,-13.933394432067873,-5.921059608459473,-4.899572372436523,-4.450780868530273,-9.424001693725586,-9.174796104431152,-10.687382698059082,-0.5928778648376465,-7.4578857421875,REAL
